ID,PUNTO DE RECORRIDO,TIPO DE RETO,Contexto,Enunciado ciudadanía,Enunciado Técnico,Puntos en juego,Respuesta 1,% R1,Respuesta 2,% R2,Respuesta 3,% R3,Respuesta 4,% R4,Feedback de referencia,TIEMPO,Dificultad
1,C1.1,Principios generales y fundamentales de la República,La Constitución establece principios fundamentales sobre la dignidad humana.,"Es una prerrogativa fundamental caracterizada por ser sagrada, innata e inviolable; además, su respeto y protección es una responsabilidad esencial de los poderes públicos",,10,La dignidad humana,100%,La seguridad alimentaria,0%,La libertad y seguridad personal,0%,La integridad personal,0%,"Constitución. Artículo 38.- Dignidad humana. El Estado se fundamenta en el respeto a la dignidad de la persona y se organiza para la protección real y efectiva de los derechos fundamentales que le son inherentes. La dignidad del ser humano es sagrada, innata e inviolable; su respeto y protección constituyen una responsabilidad esencial de los poderes públicos.",30,Fácil
2,C1.1,Principios generales y fundamentales de la República,"""Según la Constitución, todo el poder del Estado proviene de una fuente principal.""",La soberanía de la República Dominicana reside exclusivamente en:,,10,El Estado,0%,El pueblo,100%,El gobierno,0%,El Congreso,0%,"Constitución. Artículo 2.- Soberanía popular. La soberanía reside exclusivamente en el pueblo, de quien emanan todos los poderes del Estado, los cuales se ejercen por representación.",30,Fácil
3,C1.2,Derechos fundamentales,El poder y las instituciones del Estado se organizan para garantizar estos derechos.,Los derechos fundamentales son aquellos que:,,15,Pueden ser limitados en cualquier momento por el Estado,0%,Son inherentes a la persona humana y protegidos por la Constitución,100%,Existen únicamente para los ciudadanos dominicanos,0%,Están sujetos a la voluntad del gobierno de turno,0%,Constitución. Artículo 38 y Título II. La Constitución reconoce los derechos fundamentales como inherentes a la persona humana y establece garantías para su protección efectiva.,45,Medio
4,C1.3,Organización del Estado,,El gobierno de la República Dominicana es:,,10,Monárquico y centralizado,0%,"Civil, republicano, democrático y representativo",100%,Militar y autoritario,0%,Federal y presidencialista,0%,"Constitución. Artículo 4.- Gobierno de la Nación y separación de poderes. El gobierno de la Nación es esencialmente civil, republicano, democrático y representativo.",30,Fácil
5,C1.4,Sistema Judicial,Reflexiona sobre el papel de la carrera judicial.,¿Cuál de las siguientes afirmaciones es VERDADERA sobre el Poder Judicial en la República Dominicana?,,20,Los jueces son designados directamente por el Presidente de la República,0%,El Tribunal Constitucional forma parte del Poder Judicial,0%,La Suprema Corte de Justicia es el órgano jurisdiccional superior de todos los organismos judiciales,100%,La carrera judicial está cerrada a los abogados con menos de diez años de ejercicio,0%,Constitución. Artículo 152.- Suprema Corte de Justicia. La Suprema Corte de Justicia es el órgano jurisdiccional superior de todos los organismos judiciales.,45,Medio
6,C2.1,Verdadero o Falso,,La República Dominicana es un Estado unitario,,10,Verdadero,100%,Falso,0%,,,,,"Constitución. Artículo 7.- Estado Social y Democrático de Derecho. La República Dominicana es un Estado Social y Democrático de Derecho, organizado en forma de República unitaria...",30,Fácil
7,C2.2,Verdadero o Falso,Analiza esta afirmación relacionada con principios constitucionales.,La Constitución dominicana permite la reelección presidencial indefinida,,15,Verdadero,0%,Falso,100%,,,,,"Constitución. Artículo 124.- El Poder Ejecutivo se ejerce por el o la Presidente de la República, quien será elegido cada cuatro años por voto directo y no podrá ser electo para el período constitucional siguiente.",30,Fácil
8,C2.3,Derechos ciudadanos,Las libertades individuales están protegidas en la Constitución.,La libertad de expresión e información en la República Dominicana:,,20,Es absoluta y no tiene ninguna limitación,0%,Está prohibida en temas relativos a la seguridad nacional,0%,No permite criticar al gobierno bajo ninguna circunstancia,0%,Implica responsabilidad por los abusos que se cometan en su ejercicio,100%,"Constitución. Artículo 49.- Libertad de expresión e información. Toda persona tiene derecho a expresar libremente sus pensamientos e ideas, pero serán responsables del abuso de este derecho en los casos determinados por la ley.",40,Medio
9,C3.1,Organización territorial,La división política del país está definida en la Constitución.,La unidad política administrativa básica del territorio dominicano es:,,15,La provincia,0%,La región,0%,El municipio,100%,El distrito municipal,0%,"Constitución. Artículo 199.- Administración local. El Distrito Nacional, los municipios y los distritos municipales constituyen la base del sistema político administrativo local. Son personas jurídicas de Derecho Público, responsables de sus actuaciones...",30,Fácil
10,C3.2,Relaciones internacionales,Estos principios guían las relaciones exteriores del país.,La política exterior de la República Dominicana se fundamenta en:,,20,La intervención en asuntos internos de otras naciones,0%,El aislacionismo y proteccionismo económico,0%,La sujeción a los intereses de las potencias mundiales,0%,Los principios de soberanía y no intervención,100%,"Constitución. Artículo 26.- Relaciones internacionales y derecho internacional. La República Dominicana es un Estado miembro de la comunidad internacional, abierto a la cooperación y apegado a las normas del derecho internacional.",40,Difícil
