ID,MUNDO,PUNTO DE RECORRIDO,TIPO DE RETO,Contexto (si hace falta),Enunciado ciudadanía (default),Puntos por respuesta correcta,Respuesta 1,% R1,Respuesta 2,% R2,Respuesta 3,% R3,Respuesta 4,% R4,Num. Articulo,Artículo de la constitución (texto),Feedback del juego,TIEMPO (segundos),Dificultad,
1,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,"Es una prerrogativa fundamental caracterizada por ser sagrada, innata e inviolable; además, su respeto y protección es una responsabilidad esencial de los poderes públicos",10,La dignidad humana,100%,La seguridad alimentaria,0%,La libertad y seguridad personal,0%,La integridad personal,0%,38,Constitución de la República Dominicana,"Dignidad humana. El Estado se fundamenta en el respeto a la dignidad de la persona y se organiza para la protección real y efectiva de los derechos fundamentales que le son inherentes. La dignidad del ser humano es sagrada, innata e inviolable; su respeto y protección constituyen una responsabilidad esencial de los poderes públicos.",30,Fácil,
2,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,La soberanía reside exclusivamente en:,10,El pueblo,100%,El Estado,0%,El gobierno,0%,El Congreso,0%,2,Constitución de la República Dominicana,"Soberanía popular. La soberanía reside exclusivamente en el pueblo, de quien emanan todos los poderes, los cuales ejerce por medio de sus representantes o en forma directa, en los términos que establecen esta Constitución y las leyes.",30,Fácil,
3,M2 - ÓRGANOS E INSTITUCIONES DEL ESTADO DOMINICANO,C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,El gobierno de la nación dominicana es:,10,"Civil, republicano, democrático y representativo",100%,Monárquico y centralizado,0%,Militar y autoritario,0%,Representativo y militar,0%,4,Constitución de la República Dominicana,"Gobierno de la Nación y separación de poderes. El gobierno de la Nación es esencialmente civil, republicano, democrático y representativo. Se divide en Poder Legislativo, Poder Ejecutivo y Poder Judicial. Estos tres poderes son independientes en el ejercicio de sus respectivas funciones. Sus encargados son responsables y no pueden delegar sus atribuciones, las cuales son únicamente las determinadas por esta Constitución y las leyes.",30,Fácil,
4,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,El fundamento de la Constitución es:,10,La unidad indisoluble de la nación y el respeto a la dignidad humana,100%,La riqueza económica del país,0%,La intervención extranjera,0%,La cultura nacional,0%,5,Constitución de la República Dominicana,"Fundamento de la Constitución. La Constitución se fundamenta en el respeto a la dignidad humana y en la indisoluble unidad de la Nación, patria común de todos los dominicanos y dominicanas.",30,Fácil,
5,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,La Constitución de la República Dominicana es:,10,La norma suprema y fundamento del ordenamiento jurídico del Estado,100%,Una norma de carácter secundario,0%,Un reglamento administrativo,0%,Una ley ordinaria,0%,6,Constitución de la República Dominicana,"Supremacía de la Constitución. Todas las personas y los órganos que ejercen potestades públicas están sujetos a la Constitución, norma suprema y fundamento del ordenamiento jurídico del Estado. Son nulos de pleno derecho toda ley, decreto, resolución, reglamento o acto contrarios a esta Constitución.",30,Fácil,
6,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,La función esencial del Estado es:,10,La protección efectiva de los derechos de la persona y el respeto de su dignidad,100%,El control militar de la población,0%,La expansión territorial,0%,Desarrollo del turismo nacional,0%,8,Constitución de la República Dominicana,"Función esencial del Estado. Es función esencial del Estado, la protección efectiva de los derechos de la persona, el respeto de su dignidad y la obtención de los medios que le permitan perfeccionarse de forma igualitaria, equitativa y progresiva, dentro de un marco de libertad individual y de justicia social, compatibles con el orden público, el bienestar general y los derechos de todos y todas.",30,Fácil,
7,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,La ciudad de Santo Domingo de Guzmán es:,10,El Distrito Nacional y capital de la República,100%,Una provincia independiente,0%,Un municipio,0%,Una demarcación,0%,13,Constitución de la República Dominicana,"Distrito Nacional. La ciudad de Santo Domingo de Guzmán es el Distrito Nacional, capital de la República y asiento del gobierno nacional.",30,Fácil,
8,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,El consumo humano del agua en la República Dominicana tiene:,10,  Prioridad sobre cualquier otro uso,100%,Igual importancia que otros usos,0%,Menor prioridad que la agricultura,0%,Menor importancia en el turismo nacional,0%,15,Constitución de la República Dominicana,"Recursos hídricos. El agua constituye patrimonio nacional estratégico de uso público, inalienable, imprescriptible, inembargable y esencial para la vida. El consumo humano del agua tiene prioridad sobre cualquier otro uso. El Estado promoverá la elaboración e implementación de políticas efectivas para la protección de los recursos hídricos de la Nación.",30,Fácil,
9,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El Tribunal Constitucional es el órgano supremo de:,10,Interpretación y control de la constitucionalidad,100%,Justicia ordinaria,0%,Legislación,0%,Administración de justicia electoral,0%,1,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.",Naturaleza y Autonomía. El Tribunal Constitucional es el órgano supremo de interpretación y control de la constitucionalidad. Es autónomo de los poderes públicos y de los demás órganos del Estado.,30,Medio,
10,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,La finalidad de la Ley 137-11 es:,10,Garantizar la supremacía y defensa de las normas y principios constitucionales,100%,Regular el sistema electoral,0%,Controlar la economía,0%,Establecer los mecanismos de reforma de la Constitución,0%,2,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Objeto y Alcance. Esta ley tiene por finalidad regular la organización del Tribunal Constitucional y el ejercicio de la justicia constitucional para garantizar la supremacía y defensa de las normas y principios constitucionales y del Derecho Internacional vigente en la República, su uniforme interpretación y aplicación, así como los derechos y libertades fundamentales consagrados en la Constitución o en los instrumentos internacionales de derechos humanos aplicables.",30,Medio,
