ID,Punto de Recorrido,Tipo de Reto,Contexto,Enunciado Ciudadanía,Enunciado Técnico,Puntos en Juego,Imagen 1,Desc. Imagen 1,Texto 1,% T1,Texto 2,% T2,Texto 3,% T3,Texto 4,% T4,Feedback,Tiempo,Dificultad
VA001,Símbolos Patrios,Asociaciones Visuales,Los símbolos patrios de la República Dominicana son elementos fundamentales de nuestra identidad nacional,¿Qué representa este símbolo patrio?,Identifique la función de este símbolo nacional,15,bandera_dominicana,Bandera Nacional Dominicana,Símbolo que representa la unidad nacional con sus colores rojo azul y blanco,100,Emblema que contiene los valores y la historia de la nación dominicana,0,Composición musical que exalta el amor patrio y la identidad nacional,0,Documento que establece las leyes fundamentales del Estado,0,La bandera nacional es el símbolo que representa la unidad e identidad de la República Dominicana con sus colores patrios.,90,Fácil
VA002,Símbolos Patrios,Asociaciones Visuales,Los símbolos patrios de la República Dominicana son elementos fundamentales de nuestra identidad nacional,¿Qué representa este símbolo patrio?,Identifique la función de este símbolo nacional,15,escudo_nacional,Escudo Nacional Dominicano,Símbolo que representa la unidad nacional con sus colores rojo azul y blanco,0,Emblema que contiene los valores y la historia de la nación dominicana,100,Composición musical que exalta el amor patrio y la identidad nacional,0,Institución que imparte justicia en el país,0,El escudo nacional es el emblema que contiene los valores históricos y la identidad de la nación dominicana.,90,Fácil
VA003,Símbolos Patrios,Asociaciones Visuales,Los símbolos patrios de la República Dominicana son elementos fundamentales de nuestra identidad nacional,¿Qué representa este símbolo patrio?,Identifique la función de este símbolo nacional,15,himno_nacional,Himno Nacional Dominicano,Símbolo que representa la unidad nacional con sus colores rojo azul y blanco,0,Emblema que contiene los valores y la historia de la nación dominicana,0,Composición musical que exalta el amor patrio y la identidad nacional,100,Documento legal que rige las instituciones del Estado,0,El himno nacional es la composición musical que exalta el amor patrio y fortalece la identidad nacional dominicana.,90,Fácil
VA004,Poderes del Estado,Asociaciones Visuales,La separación de poderes es un principio fundamental del Estado dominicano establecido en la Constitución,¿Cuál es la función principal de este poder del Estado?,Identifique la competencia de este órgano del poder público,20,poder_ejecutivo,Poder Ejecutivo Dominicano,Administra y ejecuta las políticas públicas del Estado dominicano,100,Elabora y aprueba las leyes de la República Dominicana,0,Imparte justicia y garantiza el cumplimiento de las leyes,0,Investiga y persigue los delitos y faltas contra el orden público,0,El Poder Ejecutivo es responsable de administrar el Estado y ejecutar las políticas públicas según establece la Constitución.,75,Intermedio
VA005,Poderes del Estado,Asociaciones Visuales,La separación de poderes es un principio fundamental del Estado dominicano establecido en la Constitución,¿Cuál es la función principal de este poder del Estado?,Identifique la competencia de este órgano del poder público,20,poder_legislativo,Poder Legislativo Dominicano,Administra y ejecuta las políticas públicas del Estado dominicano,0,Elabora y aprueba las leyes de la República Dominicana,100,Imparte justicia y garantiza el cumplimiento de las leyes,0,Controla las finanzas públicas y audita las instituciones estatales,0,El Poder Legislativo tiene la función constitucional de elaborar aprobar y modificar las leyes de la República.,75,Intermedio
VA006,Poderes del Estado,Asociaciones Visuales,La separación de poderes es un principio fundamental del Estado dominicano establecido en la Constitución,¿Cuál es la función principal de este poder del Estado?,Identifique la competencia de este órgano del poder público,20,poder_judicial,Poder Judicial Dominicano,Administra y ejecuta las políticas públicas del Estado dominicano,0,Elabora y aprueba las leyes de la República Dominicana,0,Imparte justicia y garantiza el cumplimiento de las leyes,100,Representa al Estado en las relaciones diplomáticas internacionales,0,El Poder Judicial es el encargado de impartir justicia y garantizar el cumplimiento de las leyes y la Constitución.,75,Intermedio
VA007,Derechos Fundamentales,Asociaciones Visuales,Los derechos fundamentales son prerrogativas inherentes a la persona humana reconocidas por la Constitución,¿Qué derecho fundamental representa esta imagen?,Identifique este derecho constitucional,18,derecho_vida,Derecho a la Vida,Derecho inviolable desde la concepción hasta la muerte natural,100,Facultad de actuar según la propia voluntad sin restricciones injustas,0,Principio que garantiza el mismo trato y oportunidades para todos,0,Valor intrínseco y sagrado que posee todo ser humano,0,El derecho a la vida es inviolable desde la concepción hasta la muerte según establece el artículo 37 de la Constitución.,60,Intermedio
VA008,Derechos Fundamentales,Asociaciones Visuales,Los derechos fundamentales son prerrogativas inherentes a la persona humana reconocidas por la Constitución,¿Qué derecho fundamental representa esta imagen?,Identifique este derecho constitucional,18,derecho_libertad,Derecho a la Libertad,Derecho inviolable desde la concepción hasta la muerte natural,0,Facultad de actuar según la propia voluntad sin restricciones injustas,100,Principio que garantiza el mismo trato y oportunidades para todos,0,Prerrogativa de expresar libremente las ideas y opiniones,0,El derecho a la libertad permite actuar según la propia voluntad dentro del marco legal establecido por la Constitución.,60,Intermedio
VA009,Organización Territorial,Asociaciones Visuales,El territorio dominicano se organiza en diferentes niveles administrativos según la Constitución,¿Qué nivel de organización territorial representa esta imagen?,Identifique esta división administrativa del territorio,12,distrito_nacional,Distrito Nacional - Capital,Circunscripción territorial que constituye la capital de la República,100,División territorial intermedia dirigida por un gobernador civil,0,Unidad básica de organización territorial dirigida por un alcalde,0,Subdivisión municipal para la prestación de servicios locales,0,El Distrito Nacional es la circunscripción territorial especial que constituye la capital de la República Dominicana.,45,Fácil
VA010,Organización Territorial,Asociaciones Visuales,El territorio dominicano se organiza en diferentes niveles administrativos según la Constitución,¿Qué nivel de organización territorial representa esta imagen?,Identifique esta división administrativa del territorio,12,municipio_dominicano,Municipio Dominicano,Circunscripción territorial que constituye la capital de la República,0,División territorial intermedia dirigida por un gobernador civil,0,Unidad básica de organización territorial dirigida por un alcalde,100,Órgano superior que organiza y dirige todo el proceso electoral,0,El municipio es la unidad básica de organización territorial dirigida por un alcalde según la organización administrativa del Estado.,45,Fácil
